,nama_produk,harga,diskon,rating,foto_produk,url_produk,nama_toko,lokasi_toko,url_toko,asal_ecommerce
264,Slim Blackmatte Case XIAOMI Redmi 4A 4X 5A 6A 7A 8A 3S Casing Soft Case Xiaomi,1950,48,4.8,https://cf.shopee.co.id/file/c5d7a439374c4556de9513d6478469ef,https://shopee.co.id/-Slim-Blackmatte-Case-XIAOMI-Redmi-4A-4X-5A-6A-7A-8A-3S-Casing-Soft-Case-Xiaomi-i.5613134.974086965,moniqueen.com,KOTA JAKARTA UTARA,https://shopee.co.id/moniqueen.com,shopee
167,Black Matte Soft Case Xiaomi Redmi 3S 4A 4X 5 5A 5+ 6 6A 7 7A 8A/ PRO,2000,0,5.0,https://images.tokopedia.net/img/cache/250-square/product-1/2017/4/23/18370014/18370014_ac9c94a0-049a-414c-98f1-4fb17aec0db0_800_800.jpg,https://m.tokopedia.com/go-acc/black-matte-soft-case-xiaomi-redmi-3s-4a-4x-5-5a-5-6-6a-7-7a-8a-pro-redmi-5?whid=0,GO Acc,Kab. Bekasi,https://m.tokopedia.com/go-acc,tokopedia
81,Soft Case Anti Crack Xiaomi Redmi Note 2 3 4 4X 5A/ PRIME 5 PRO 7/PRO,2300,0,3.7,https://images.tokopedia.net/img/cache/250-square/product-1/2018/1/28/5907461/5907461_de88cc0d-22fe-4fc2-a69f-9c9e8d01b413_600_521.jpg,https://m.tokopedia.com/okgrosiracc/soft-case-anti-crack-xiaomi-redmi-note-2-3-4-4x-5a-prime-5-pro-7-pro-rm-note-4-or-4x?whid=0,OK Grosir Acc,Kab. Bekasi,https://m.tokopedia.com/okgrosiracc,tokopedia
139,Soft Case Anti Crack XIAOMI REDMI 2S 3S/ PRO 4A 4X 5 5A 5+ PLUS 6 6A,2300,0,4.5,https://images.tokopedia.net/img/cache/250-square/product-1/2018/1/28/5907461/5907461_de88cc0d-22fe-4fc2-a69f-9c9e8d01b413_600_521.jpg,https://m.tokopedia.com/okgrosiracc/soft-case-anti-crack-xiaomi-redmi-2s-3s-pro-4a-4x-5-5a-5-plus-6-6a-redmi-6-or-6a?whid=0,OK Grosir Acc,Kab. Bekasi,https://m.tokopedia.com/okgrosiracc,tokopedia
191,Case Anti Crack / Shock Xiaomi Redmi 4X - Air Cushion Jelly Silicon,2900,0,4.7,https://images.tokopedia.net/img/cache/250-square/product-1/2017/10/24/822347/822347_d654c4d2-7b42-46a1-bd5d-ace5d112d638_1536_1536.jpg,https://m.tokopedia.com/aeriqa/case-anti-crack-shock-xiaomi-redmi-4x-air-cushion-jelly-silicon?whid=0,Aeriqa,Jakarta Barat,https://m.tokopedia.com/aeriqa,tokopedia
80,Case Anti Crack / Shock Xiaomi Redmi Note 4 / Note 4X - Jelly Silicon,2900,0,4.8,https://images.tokopedia.net/img/cache/250-square/product-1/2017/10/29/822347/822347_0ada926f-aeb0-4750-9a2a-3e77e029195a_768_768.jpg,https://m.tokopedia.com/aeriqa/case-anti-crack-shock-xiaomi-redmi-note-4-note-4x-jelly-silicon?whid=0,Aeriqa,Jakarta Barat,https://m.tokopedia.com/aeriqa,tokopedia
118,Case Slim Fit Black Mate Matte Xiaomi Redmi Note 4x Redmi Note 4,3100,0,4.1,https://images.tokopedia.net/img/cache/250-square/product-1/2018/8/2/5042955/5042955_b82b3064-ca11-4976-9665-d34b881875d0_2048_2048.jpg,https://m.tokopedia.com/anantashop09/case-slim-fit-black-mate-matte-xiaomi-redmi-note-4x-redmi-note-4?whid=0,anantashop09,Bekasi,https://m.tokopedia.com/anantashop09,tokopedia
329,Case Slim Fit Black Mate Matte Xiaomi Redmi Note 4x Redmi Note 4,3100,0,5.0,https://s2.bukalapak.com/img/76374532582/large/data.png,https://www.bukalapak.com/p/handphone/aksesoris-handphone/casing-cover/l477g7-jual-case-slim-fit-black-mate-matte-xiaomi-redmi-note-4x-redmi-note-4,Ananta Shop,Bekasi - Jawa Barat,https://www.bukalapak.com/u/ananta_shop,bukalapak
326,CASE XIAOMI REDMI 4X - LEATHER CASE AUTOFOCUS XIAOMI REDMI 4X,3200,0,4.8,https://s1.bukalapak.com/img/14897278481/large/data.jpeg,https://www.bukalapak.com/p/handphone/aksesoris-handphone/casing-cover/2ulxo7w-jual-case-xiaomi-redmi-4x-leather-case-autofocus-xiaomi-redmi-4x,Surya Cell Sparepart,Jakarta Utara - DKI Jakarta,https://www.bukalapak.com/u/benua_benua849,bukalapak
340,SLIM LEATHER CASE AUTOFOCUS ORIGINAL FOR XIAOMI REDMI NOTE 4X MEDIATEK,3200,0,4.8,https://s3.bukalapak.com/img/8662021433/large/Screenshot_2018_0925_194730.png,https://www.bukalapak.com/p/handphone/aksesoris-handphone/casing-cover/o74p1c-jual-slim-leather-case-autofocus-original-for-xiaomi-redmi-note-4x-mediatek,Benua cell,Jakarta Utara - DKI Jakarta,https://www.bukalapak.com/u/benuacempaka,bukalapak
